danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,Track,Artist
0.852,0.697,1,-5.52,0,0.0439,0.0973,0.00037,0.0678,0.919,138.029,audio_features,5AJ9hqTS2wcFQCELCFRO7A,spotify:track:5AJ9hqTS2wcFQCELCFRO7A,https://api.spotify.com/v1/tracks/5AJ9hqTS2wcFQCELCFRO7A,https://api.spotify.com/v1/audio-analysis/5AJ9hqTS2wcFQCELCFRO7A,155152,4,MILLION DOLLAR BABY,Tommy Richman
0.898,0.472,1,-7.001,1,0.0776,0.0107,0.0,0.141,0.214,101.061,audio_features,6AI3ezQ4o3HUoP6Dhudph3,spotify:track:6AI3ezQ4o3HUoP6Dhudph3,https://api.spotify.com/v1/tracks/6AI3ezQ4o3HUoP6Dhudph3,https://api.spotify.com/v1/audio-analysis/6AI3ezQ4o3HUoP6Dhudph3,274192,4,Not Like Us,Kendrick Lamar
0.599,0.946,11,-4.263,1,0.0447,0.000938,0.0106,0.0826,0.747,151.647,audio_features,2GxrNKugF82CnoRFbQfzPf,spotify:track:2GxrNKugF82CnoRFbQfzPf,https://api.spotify.com/v1/tracks/2GxrNKugF82CnoRFbQfzPf,https://api.spotify.com/v1/audio-analysis/2GxrNKugF82CnoRFbQfzPf,142515,4,i like the way you kiss me,Artemas
0.706,0.691,0,-4.775,1,0.0633,0.0584,6.99e-05,0.0232,0.632,118.048,audio_features,7DSAEUvxU8FajXtRloy8M0,spotify:track:7DSAEUvxU8FajXtRloy8M0,https://api.spotify.com/v1/tracks/7DSAEUvxU8FajXtRloy8M0,https://api.spotify.com/v1/audio-analysis/7DSAEUvxU8FajXtRloy8M0,200600,4,Flowers,Miley Cyrus
0.936,0.887,9,-2.76,0,0.0683,0.0292,1.88e-06,0.0582,0.889,127.003,audio_features,2HYFX63wP3otVIvopRS99Z,spotify:track:2HYFX63wP3otVIvopRS99Z,https://api.spotify.com/v1/tracks/2HYFX63wP3otVIvopRS99Z,https://api.spotify.com/v1/audio-analysis/2HYFX63wP3otVIvopRS99Z,227239,4,Houdini,Eminem
0.943,0.558,2,-4.911,1,0.0568,0.0026,2.19e-06,0.0937,0.606,104.983,audio_features,4xhsWYTOGcal8zt0J161CU,spotify:track:4xhsWYTOGcal8zt0J161CU,https://api.spotify.com/v1/tracks/4xhsWYTOGcal8zt0J161CU,https://api.spotify.com/v1/audio-analysis/4xhsWYTOGcal8zt0J161CU,138411,4,Lovin On Me,Jack Harlow
0.472,0.471,10,-5.692,1,0.0603,0.151,0.0,0.14,0.219,105.029,audio_features,6tNQ70jh4OwmPGpYy6R2o9,spotify:track:6tNQ70jh4OwmPGpYy6R2o9,https://api.spotify.com/v1/tracks/6tNQ70jh4OwmPGpYy6R2o9,https://api.spotify.com/v1/audio-analysis/6tNQ70jh4OwmPGpYy6R2o9,180304,3,Beautiful Things,Benson Boone
0.791,0.499,8,-8.472,0,0.0509,0.446,2.41e-05,0.0899,0.669,99.986,audio_features,6XjDF6nds4DE2BBbagZol6,spotify:track:6XjDF6nds4DE2BBbagZol6,https://api.spotify.com/v1/tracks/6XjDF6nds4DE2BBbagZol6,https://api.spotify.com/v1/audio-analysis/6XjDF6nds4DE2BBbagZol6,222000,4,Gata Only,FloyyMenor
0.739,0.937,0,-4.271,1,0.128,0.0768,0.0,0.191,0.91,130.025,audio_features,6KD131fI0hLfrb7Uwa6jCw,spotify:track:6KD131fI0hLfrb7Uwa6jCw,https://api.spotify.com/v1/tracks/6KD131fI0hLfrb7Uwa6jCw,https://api.spotify.com/v1/audio-analysis/6KD131fI0hLfrb7Uwa6jCw,198000,4,Danza Kuduro - Cover,MUSIC LAB JPN
0.882,0.764,11,-5.241,1,0.204,0.359,0.0,0.119,0.886,140.113,audio_features,7iabz12vAuVQYyekFIWJxD,spotify:track:7iabz12vAuVQYyekFIWJxD,https://api.spotify.com/v1/tracks/7iabz12vAuVQYyekFIWJxD,https://api.spotify.com/v1/audio-analysis/7iabz12vAuVQYyekFIWJxD,140733,4,BAND4BAND (feat. Lil Baby),Central Cee
0.638,0.855,7,-4.86,1,0.0264,0.00757,0.0,0.245,0.731,127.986,audio_features,7221xIgOnuakPdLqT0F3nP,spotify:track:7221xIgOnuakPdLqT0F3nP,https://api.spotify.com/v1/tracks/7221xIgOnuakPdLqT0F3nP,https://api.spotify.com/v1/audio-analysis/7221xIgOnuakPdLqT0F3nP,178206,4,I Had Some Help (feat. Morgan Wallen),Post Malone
0.731,0.861,8,-5.483,0,0.0532,0.0193,0.0,0.123,0.759,127.922,audio_features,3dj4wgM3cPeuLwMNHDuBon,spotify:track:3dj4wgM3cPeuLwMNHDuBon,https://api.spotify.com/v1/tracks/3dj4wgM3cPeuLwMNHDuBon,https://api.spotify.com/v1/audio-analysis/3dj4wgM3cPeuLwMNHDuBon,212649,4,The Door,Teddy Swims
0.893,0.4,11,-7.981,0,0.0643,0.0452,0.0823,0.0632,0.945,124.987,audio_features,629DixmZGHc7ILtEntuiWE,spotify:track:629DixmZGHc7ILtEntuiWE,https://api.spotify.com/v1/tracks/629DixmZGHc7ILtEntuiWE,https://api.spotify.com/v1/audio-analysis/629DixmZGHc7ILtEntuiWE,179587,4,LUNCH,Billie Eilish
0.814,0.676,11,-4.67,0,0.231,0.00709,1.28e-05,0.119,0.312,162.012,audio_features,2tudvzsrR56uom6smgOcSf,spotify:track:2tudvzsrR56uom6smgOcSf,https://api.spotify.com/v1/tracks/2tudvzsrR56uom6smgOcSf,https://api.spotify.com/v1/audio-analysis/2tudvzsrR56uom6smgOcSf,267707,4,Like That,Future
