track,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
The Sound of Silence,Disturbed,0.322,0.28,6,-9.367,0,0.0281,0.468,1.1e-06,0.102,0.175,85.794,248467
Nothing Else Matters,Apocalyptica,0.346,0.198,2,-12.208,0,0.0334,0.566,0.893,0.0958,0.163,138.103,285533
Love Lost,"Mac Miller, The Temper Trap",0.735,0.812,2,-4.417,1,0.151,0.528,0.0,0.186,0.584,109.829,162876
Tennessee,Hans Zimmer,0.0753,0.163,0,-17.328,1,0.0402,0.89,0.936,0.115,0.0395,76.405,219600
Nemo,Nightwish,0.494,0.735,0,-6.326,0,0.0348,0.000185,8.38e-05,0.086,0.359,125.042,276200
"Nocturne in C-sharp minor, B. 49","Frédéric Chopin, Brigitte Engerer",0.277,0.00397,6,-31.601,0,0.0431,0.992,0.9,0.0763,0.194,72.111,239973
La Bachata,Manuel Turizo,0.835,0.679,7,-5.329,0,0.0364,0.583,1.98e-06,0.218,0.85,124.98,162638
The Rip Tide,Beirut,0.388,0.555,11,-7.781,1,0.0314,0.679,0.804,0.161,0.354,148.844,266027
Glance Out A Casement Window,Janet Redger,0.384,0.0189,1,-31.119,1,0.0395,0.992,0.947,0.0967,0.0834,62.479,130166
Arbor,Samuel Kees,0.352,0.00519,2,-34.359,1,0.0436,0.995,0.963,0.0981,0.414,89.475,155500
Prato Di Girasoli,Nascondiglio,0.406,0.0167,0,-30.943,1,0.0348,0.994,0.917,0.221,0.256,95.103,158080
Schutter,May Laude,0.394,0.00334,7,-32.17,1,0.0569,0.991,0.938,0.0844,0.195,130.952,150000
land in sight,Alfons Daiminger,0.249,0.00605,2,-33.947,1,0.0444,0.992,0.959,0.0982,0.137,173.68,200551
Moving on,Tankeflukt,0.221,0.0332,3,-35.442,1,0.0405,0.992,0.919,0.13,0.2,171.036,172181
Communion,Stephan Moccio,0.321,0.00912,10,-33.262,0,0.0381,0.992,0.917,0.1,0.196,127.523,255400
Mavro,Niamh Shona,0.313,0.00661,4,-39.292,0,0.0524,0.994,0.933,0.102,0.318,110.931,173137
Almenno San Salvatore,Rhian Cadogan,0.434,0.012,2,-35.826,1,0.0321,0.992,0.896,0.106,0.293,107.437,167189
Window Seat,Dwight Rivera,0.513,0.0144,10,-24.793,1,0.0396,0.982,0.941,0.0982,0.244,69.035,145120
For A Moment,Haley Morrison,0.496,0.0117,2,-31.262,1,0.0586,0.995,0.897,0.1,0.234,68.158,201875
Viva La Vida,Coldplay,0.486,0.617,5,-7.115,0,0.0287,0.0954,3.23e-06,0.109,0.417,138.015,242373
Shape of You,Ed Sheeran,0.825,0.652,1,-3.183,0,0.0802,0.581,0.0,0.0931,0.931,95.977,233713
Blinding Lights,The Weeknd,0.513,0.73,1,-5.94,1,0.0598,0.00143,9.54e-05,0.0897,0.334,171.001,200040
Starboy,"The Weeknd, Daft Punk",0.679,0.587,7,-7.015,1,0.276,0.141,6.35e-06,0.137,0.486,186.003,230453
Dance Monkey,Tones And I,0.824,0.588,6,-6.4,0,0.0924,0.692,0.000104,0.149,0.513,98.027,209438
